ride_id,travel_from,travel_to,car_type,max_capacity,Seats_Sold,Year,Month,Day,Weekday,Hour
1442,Migori,Nairobi,Bus,49,1,2017,10,17,1,7
5437,Migori,Nairobi,Bus,49,1,2017,11,19,6,7
5710,Keroka,Nairobi,Bus,49,1,2017,11,26,6,7
5777,Homa Bay,Nairobi,Bus,49,5,2017,11,27,0,7
5778,Migori,Nairobi,Bus,49,31,2017,11,27,0,7
5781,Homa Bay,Nairobi,Bus,49,26,2017,11,27,0,7
5784,Kisii,Nairobi,shuttle,11,1,2018,4,20,4,5
5789,Kisii,Nairobi,shuttle,11,1,2018,4,20,4,9
5790,Kisii,Nairobi,Bus,49,2,2018,4,20,4,7
5791,Kisii,Nairobi,shuttle,11,1,2018,4,20,4,6
5792,Kisii,Nairobi,shuttle,11,1,2018,4,20,4,5
5793,Kisii,Nairobi,shuttle,11,1,2018,4,20,4,10
5794,Kisii,Nairobi,shuttle,11,2,2018,4,20,4,6
5795,Kisii,Nairobi,shuttle,11,1,2018,4,20,4,5
5796,Kisii,Nairobi,shuttle,11,2,2018,4,20,4,6
5797,Keroka,Nairobi,Bus,49,3,2017,11,27,0,7
5798,Kisii,Nairobi,shuttle,11,1,2018,4,20,4,9
5800,Kisii,Nairobi,shuttle,11,2,2018,4,19,3,5
5801,Kisii,Nairobi,shuttle,11,11,2018,4,19,3,5
5802,Keroka,Nairobi,shuttle,11,3,2017,11,27,0,10
5803,Kisii,Nairobi,shuttle,11,11,2018,4,19,3,5
5804,Keroka,Nairobi,shuttle,11,1,2017,11,27,0,10
5808,Kisii,Nairobi,Bus,49,2,2018,4,19,3,7
5809,Kisii,Nairobi,shuttle,11,1,2018,4,19,3,10
5810,Kisii,Nairobi,shuttle,11,1,2018,4,19,3,7
5811,Kisii,Nairobi,shuttle,11,1,2018,4,19,3,8
5812,Kisii,Nairobi,shuttle,11,1,2018,4,19,3,5
5816,Kisii,Nairobi,shuttle,11,1,2018,4,18,2,5
5817,Kisii,Nairobi,shuttle,11,1,2018,4,18,2,5
5822,Kisii,Nairobi,Bus,49,1,2018,4,18,2,7
5823,Kisii,Nairobi,shuttle,11,2,2018,4,18,2,6
5824,Kisii,Nairobi,shuttle,11,1,2018,4,18,2,8
5825,Kisii,Nairobi,Bus,49,1,2018,4,18,2,19
5826,Kisii,Nairobi,shuttle,11,1,2018,4,18,2,5
5830,Kisii,Nairobi,shuttle,11,1,2018,4,17,1,5
5834,Kisii,Nairobi,Bus,49,1,2018,4,17,1,7
5835,Kisii,Nairobi,shuttle,11,2,2018,4,17,1,6
5836,Kisii,Nairobi,shuttle,11,1,2018,4,17,1,6
5837,Kisii,Nairobi,Bus,49,1,2018,4,17,1,7
5838,Kisii,Nairobi,shuttle,11,1,2018,4,17,1,6
5839,Kisii,Nairobi,shuttle,11,1,2018,4,17,1,7
5840,Kisii,Nairobi,shuttle,11,1,2018,4,17,1,5
5844,Kisii,Nairobi,shuttle,11,1,2018,4,16,0,5
5845,Kisii,Nairobi,shuttle,11,1,2018,4,16,0,5
5849,Kisii,Nairobi,Bus,49,1,2018,4,16,0,7
5850,Kisii,Nairobi,Bus,49,1,2018,4,16,0,7
5851,Kisii,Nairobi,Bus,49,1,2018,4,16,0,19
5852,Kisii,Nairobi,shuttle,11,1,2018,4,16,0,7
5853,Kisii,Nairobi,shuttle,11,1,2018,4,16,0,5
5856,Kisii,Nairobi,shuttle,11,11,2018,4,15,6,5
5857,Kisii,Nairobi,shuttle,11,4,2018,4,15,6,5
5858,Kisii,Nairobi,shuttle,11,11,2018,4,15,6,5
5861,Kisii,Nairobi,Bus,49,1,2018,4,15,6,19
5862,Kisii,Nairobi,Bus,49,1,2018,4,15,6,7
5863,Kisii,Nairobi,shuttle,11,1,2018,4,15,6,6
5864,Kisii,Nairobi,shuttle,11,1,2018,4,15,6,5
5867,Kisii,Nairobi,shuttle,11,9,2018,4,14,5,5
5868,Kisii,Nairobi,shuttle,11,6,2018,4,14,5,5
5873,Kisii,Nairobi,Bus,49,1,2018,4,14,5,6
5874,Kisii,Nairobi,Bus,49,5,2018,4,14,5,7
5875,Migori,Nairobi,Bus,49,3,2017,11,27,0,7
5876,Kisii,Nairobi,shuttle,11,1,2018,4,14,5,5
5878,Kisii,Nairobi,shuttle,11,2,2018,4,14,5,5
5880,Kisii,Nairobi,shuttle,11,11,2018,4,13,4,5
5881,Kisii,Nairobi,shuttle,11,1,2018,4,13,4,5
5882,Kisii,Nairobi,shuttle,11,4,2018,4,13,4,5
5886,Kisii,Nairobi,shuttle,11,1,2018,4,13,4,9
5887,Kisii,Nairobi,Bus,49,1,2018,4,13,4,7
5888,Kisii,Nairobi,Bus,49,1,2018,4,13,4,7
5889,Kisii,Nairobi,Bus,49,1,2018,4,13,4,7
5890,Kisii,Nairobi,shuttle,11,1,2018,4,13,4,5
5894,Kisii,Nairobi,shuttle,11,11,2018,4,12,3,5
5897,Kisii,Nairobi,shuttle,11,11,2018,4,12,3,5
5898,Keroka,Nairobi,shuttle,11,1,2017,11,27,0,6
5899,Keumbu,Nairobi,shuttle,11,1,2017,11,27,0,6
5901,Migori,Nairobi,Bus,49,11,2017,11,27,0,7
5902,Homa Bay,Nairobi,Bus,49,5,2017,11,27,0,7
5910,Kisii,Nairobi,shuttle,11,11,2018,4,12,3,5
5918,Kisii,Nairobi,Bus,49,1,2018,4,12,3,7
5919,Kisii,Nairobi,Bus,49,1,2018,4,12,3,8
5920,Kisii,Nairobi,Bus,49,1,2018,4,12,3,7
5921,Kisii,Nairobi,Bus,49,1,2018,4,12,3,7
5922,Kisii,Nairobi,shuttle,11,1,2018,4,12,3,9
5923,Kisii,Nairobi,shuttle,11,1,2018,4,12,3,7
5924,Kisii,Nairobi,shuttle,11,1,2018,4,12,3,10
5925,Kisii,Nairobi,shuttle,11,1,2018,4,12,3,5
5928,Kisii,Nairobi,shuttle,11,1,2018,4,11,2,5
5929,Kisii,Nairobi,shuttle,11,8,2018,4,11,2,5
5931,Kisii,Nairobi,shuttle,11,1,2018,4,11,2,5
5933,Keroka,Nairobi,shuttle,11,1,2017,11,28,1,8
5937,Keroka,Nairobi,Bus,49,1,2017,11,28,1,7
5940,Kisii,Nairobi,Bus,49,1,2018,4,11,2,7
